Fecha,Temperatura
2020-06-21 00:00:00.0,-999.99
2012-07-31 00:00:00.0,0.2743056
2012-08-01 00:00:00.0,4.677084
2012-08-02 00:00:00.0,3.692361
2012-08-03 00:00:00.0,3.655556
2012-08-04 00:00:00.0,1.833333
2012-08-05 00:00:00.0,6.353472
2012-08-06 00:00:00.0,4.576389
2015-08-11 00:00:00.0,-999.99
2012-08-08 00:00:00.0,4.025694
2012-08-09 00:00:00.0,7.240971
2012-08-10 00:00:00.0,2.886807
2012-08-11 00:00:00.0,4.035417
2012-08-12 00:00:00.0,3.440972
2012-08-13 00:00:00.0,4.618056
2019-03-30 00:00:00.0,-999.99
2012-08-15 00:00:00.0,5.303473
2015-04-17 00:00:00.0,N/A
2012-08-17 00:00:00.0,6.434721
2012-08-18 00:00:00.0,7.332638
2012-08-19 00:00:00.0,7.259027
2018-03-11 00:00:00.0,-999.99
2012-08-21 00:00:00.0,6.081251
2012-08-22 00:00:00.0,5.967361
2012-08-23 00:00:00.0,4.504167
2012-08-24 00:00:00.0,4.082638
2012-08-25 00:00:00.0,0.9618055
2012-08-26 00:00:00.0,3.896528
2012-08-27 00:00:00.0,4.138571
2012-08-28 00:00:00.0,2.629861
2012-08-29 00:00:00.0,7.342361
2012-08-30 00:00:00.0,3.367361
2012-08-31 00:00:00.0,7.236805
2012-09-01 00:00:00.0,9.569442
2012-09-02 00:00:00.0,10.51389
2012-09-03 00:00:00.0,9.392361
2012-09-04 00:00:00.0,8.916668
2012-11-24 00:00:00.0,N/A
2019-01-13 00:00:00.0,N/A
2012-09-07 00:00:00.0,9.006251
2012-09-08 00:00:00.0,6.675
2012-09-09 00:00:00.0,3.797916
2012-09-10 00:00:00.0,4.111806
2012-09-11 00:00:00.0,8.845834
2012-09-12 00:00:00.0,8.961109
2012-09-13 00:00:00.0,9.636803
2012-09-14 00:00:00.0,8.978471
2012-09-15 00:00:00.0,5.986807
2012-09-16 00:00:00.0,5.349304
2012-09-17 00:00:00.0,4.14236
2012-09-18 00:00:00.0,4.554861
2012-04-25 00:00:00.0,-999.99
2019-07-13 00:00:00.0,-999.99
2012-09-21 00:00:00.0,6.688889
2012-09-22 00:00:00.0,4.70764
2012-09-23 00:00:00.0,5.481249
2012-09-24 00:00:00.0,8.164582
2012-09-25 00:00:00.0,9.653471
2016-01-03 00:00:00.0,N/A
2017-11-25 00:00:00.0,-999.99
2012-09-28 00:00:00.0,10.07431
2012-09-29 00:00:00.0,9.221525
2012-09-30 00:00:00.0,7.332636
2012-10-01 00:00:00.0,6.934722
2012-10-02 00:00:00.0,6.991666
2012-10-03 00:00:00.0,7.81111
2012-10-04 00:00:00.0,7.195832
2012-10-05 00:00:00.0,6.022223
2012-10-06 00:00:00.0,4.211806
2012-10-07 00:00:00.0,7.244446
2012-10-08 00:00:00.0,5.650693
2012-10-09 00:00:00.0,10.23195
2012-10-10 00:00:00.0,9.285415
2012-10-11 00:00:00.0,11.11528
2012-10-12 00:00:00.0,12.61736
2012-10-13 00:00:00.0,10.46806
2012-10-14 00:00:00.0,8.434028
2019-10-01 00:00:00.0,N/A
2012-10-16 00:00:00.0,10.56389
2012-10-17 00:00:00.0,10.05069
2012-10-18 00:00:00.0,11.41875
2012-10-19 00:00:00.0,8.788195
2012-10-20 00:00:00.0,10.41806
2012-10-21 00:00:00.0,9.965975
2012-10-22 00:00:00.0,11.15804
2012-10-23 00:00:00.0,9.3875
2013-10-17 00:00:00.0,-999.99
2012-10-25 00:00:00.0,8.687499
2012-10-26 00:00:00.0,8.487499
2012-10-27 00:00:00.0,7.037499
2012-10-28 00:00:00.0,9.156946
2012-10-29 00:00:00.0,8.055553
2019-01-05 00:00:00.0,-999.99
2012-10-31 00:00:00.0,10.46667
2012-11-01 00:00:00.0,10.24028
2012-11-02 00:00:00.0,11.44444
2012-11-03 00:00:00.0,11.35972
2012-11-04 00:00:00.0,11.51736
2011-10-11 00:00:00.0,-999.99
2012-11-06 00:00:00.0,13.66111
2019-05-28 00:00:00.0,N/A
2017-03-23 00:00:00.0,-999.99
2012-11-09 00:00:00.0,10.21111
2012-11-10 00:00:00.0,10.66458
2019-09-11 00:00:00.0,N/A
2012-11-12 00:00:00.0,17.09236
2012-11-13 00:00:00.0,19.81597
2012-11-14 00:00:00.0,16.18125
2012-11-15 00:00:00.0,13.86111
2014-11-19 00:00:00.0,-999.99
2012-11-17 00:00:00.0,14.49097
2012-11-18 00:00:00.0,14.78819
2018-03-17 00:00:00.0,-999.99
2017-10-19 00:00:00.0,-999.99
2012-11-21 00:00:00.0,10.40764
2012-11-22 00:00:00.0,8.269444
2012-11-23 00:00:00.0,8.915974
2017-09-03 00:00:00.0,N/A
2012-11-25 00:00:00.0,11.07153
2012-11-26 00:00:00.0,12.7625
2012-11-27 00:00:00.0,14.79653
2012-11-28 00:00:00.0,14.35417
2012-11-29 00:00:00.0,12.62639
2011-11-04 00:00:00.0,N/A
2012-12-01 00:00:00.0,12.17083
2012-12-02 00:00:00.0,11.86111
2012-12-03 00:00:00.0,11.25556
2012-12-04 00:00:00.0,12.16458
2012-12-05 00:00:00.0,11.51667
2012-12-06 00:00:00.0,9.555552
2012-12-07 00:00:00.0,10.97639
2012-12-08 00:00:00.0,13.59306
2012-12-09 00:00:00.0,14.24861
2012-12-10 00:00:00.0,13.80695
2012-12-11 00:00:00.0,12.43472
2012-12-12 00:00:00.0,10.54931
2014-12-12 00:00:00.0,N/A
2012-12-14 00:00:00.0,12.15069
2012-12-15 00:00:00.0,11.61528
2012-12-16 00:00:00.0,10.3118
2012-12-17 00:00:00.0,9.322224
2012-12-18 00:00:00.0,10.29722
2012-12-19 00:00:00.0,8.583332
2012-12-20 00:00:00.0,8.355553
2012-12-21 00:00:00.0,10.23681
2016-05-22 00:00:00.0,-999.99
2012-12-23 00:00:00.0,10.92084
2012-12-24 00:00:00.0,10.375
2012-12-25 00:00:00.0,9.672916
2014-09-23 00:00:00.0,-999.99
2012-12-27 00:00:00.0,11.60278
2019-10-04 00:00:00.0,-999.99
2015-04-15 00:00:00.0,N/A
2012-12-30 00:00:00.0,14.46111
2012-12-31 00:00:00.0,13.64514
2013-01-01 00:00:00.0,15.38889
2013-01-02 00:00:00.0,17.27083
2013-01-03 00:00:00.0,17.52083
2013-01-04 00:00:00.0,16.60625
2013-01-05 00:00:00.0,16.23472
2013-01-06 00:00:00.0,14.26458
2013-01-07 00:00:00.0,10.68125
2013-01-08 00:00:00.0,12.97013
2013-01-09 00:00:00.0,14.7875
2013-01-10 00:00:00.0,20.21181
2013-01-11 00:00:00.0,21.06458
2013-01-12 00:00:00.0,19.94306
2013-01-13 00:00:00.0,23.11111
2011-08-02 00:00:00.0,N/A
2013-01-15 00:00:00.0,20.25833
2013-01-16 00:00:00.0,19.35555
2013-01-17 00:00:00.0,21.53055
2013-01-18 00:00:00.0,22.09583
2013-01-19 00:00:00.0,21.11596
2013-01-20 00:00:00.0,21.3882
2013-01-21 00:00:00.0,22.81944
2013-01-22 00:00:00.0,21.30972
2013-01-23 00:00:00.0,19.48473
2013-01-24 00:00:00.0,17.67222
2013-01-25 00:00:00.0,15.35764
2013-01-26 00:00:00.0,18.0257
2013-01-27 00:00:00.0,19.01876
2013-01-28 00:00:00.0,19.58055
2013-01-29 00:00:00.0,19.8875
2012-10-23 00:00:00.0,N/A
2013-01-31 00:00:00.0,19.15972
2013-02-01 00:00:00.0,17.17639
2017-11-01 00:00:00.0,-999.99
2013-02-03 00:00:00.0,16.67083
2020-04-09 00:00:00.0,-999.99
2013-02-05 00:00:00.0,18.8243
2013-02-06 00:00:00.0,20.23819
2013-02-07 00:00:00.0,20.42153
2013-02-08 00:00:00.0,21.16667
2013-02-09 00:00:00.0,21.80069
2013-02-10 00:00:00.0,18.45695
2013-02-11 00:00:00.0,16.3875
2013-02-12 00:00:00.0,14.35973
2013-02-13 00:00:00.0,14.1125
2012-02-05 00:00:00.0,N/A
2013-02-15 00:00:00.0,16.89306
2013-02-16 00:00:00.0,12.89028
2013-02-17 00:00:00.0,9.525697
2018-01-14 00:00:00.0,-999.99
2013-02-19 00:00:00.0,12.8125
2013-02-20 00:00:00.0,14.52708
2013-02-21 00:00:00.0,16.39652
2013-02-22 00:00:00.0,16.3743
2013-02-23 00:00:00.0,13.97431
2013-02-24 00:00:00.0,15.59027
2013-02-25 00:00:00.0,14.625
2011-07-30 00:00:00.0,N/A
2013-02-27 00:00:00.0,16.22152
2013-02-28 00:00:00.0,12.87986
2013-03-01 00:00:00.0,12.49097
2013-03-02 00:00:00.0,14.67083
2013-03-03 00:00:00.0,14.74583
2013-03-04 00:00:00.0,13.67917
2013-03-05 00:00:00.0,14.68819
2013-03-06 00:00:00.0,9.558333
2013-03-07 00:00:00.0,10.85139
2013-03-08 00:00:00.0,13.95834
2013-03-09 00:00:00.0,14.37708
2013-03-10 00:00:00.0,14.93612
2013-03-11 00:00:00.0,14.8375
2013-03-12 00:00:00.0,11.48195
2013-03-13 00:00:00.0,10.22917
2013-03-14 00:00:00.0,8.617359
2014-12-03 00:00:00.0,N/A
2013-03-16 00:00:00.0,10.20347
2013-03-17 00:00:00.0,14.37292
2017-08-04 00:00:00.0,N/A
2013-03-19 00:00:00.0,12.49375
2013-03-20 00:00:00.0,13.30695
2013-03-21 00:00:00.0,10.73333
2013-03-22 00:00:00.0,13.09097
2013-03-23 00:00:00.0,10.94792
2013-03-24 00:00:00.0,13.93958
2013-03-25 00:00:00.0,12.7007
2013-03-26 00:00:00.0,12.74236
2013-03-27 00:00:00.0,13.34098
2013-03-28 00:00:00.0,12.59861
2013-03-29 00:00:00.0,13.53403
2013-03-30 00:00:00.0,12.95417
2013-03-31 00:00:00.0,11.74792
